,id,turns,victory_status,winner,white_rating,black_rating,moves,opening_name,opening_ply
4325,JNNBtQ1z,84,resign,black,1881,1518,d4 Nf6 c4 c5 d5 e5 Nc3 d6 e4 Bd7 Nf3 Na6 Be2 Nb4 a3 Na6 O-O Be7 Nb5 O-O Bg5 Nxe4 Bxe7 Qxe7 Qd3 Nf6 Nd2 g6 Rab1 Bf5 Qc3 Bxb1 Rxb1 Nc7 Nxc7 Qxc7 Qf3 Qe7 Bd3 Rae8 Re1 e4 Nxe4 Nxe4 Bxe4 Qc7 Rc1 f5 Bc2 Qa5 Rf1 Re1 g3 Rxf1+ Kxf1 Re8 Bd3 Qe1+ Kg2 a6 Qf4 Qe5 Qd2 Qd4 b4 b5 cxb5 axb5 bxc5 Qxd5+ Kh3 Qxc5 Kg2 Qxa3 Bxb5 Re5 Qc2 Qc5 Qa2+ Kg7 Bf1 Qd5+ f3 Qxa2+,Benoni Defense: Czech Benoni Defense,6
4326,MLozf6wy,71,resign,black,1573,1877,e4 e5 d3 Nf6 f4 Nc6 Nf3 d5 Nc3 Bg4 Be2 Bb4 O-O Bxf3 Bxf3 Bc5+ Kh1 d4 Na4 Qe7 f5 Bd6 Bg5 h6 Bh4 b5 c3 bxa4 cxd4 Nxd4 Qxa4+ c6 Rac1 O-O Qd1 Rfc8 Bf2 Rab8 b3 a5 Bxd4 exd4 Re1 a4 Qe2 Be5 Rc4 axb3 axb3 Rxb3 Qc2 Rb6 Qa4 c5 Rec1 Rbb8 Qa6 Bf4 Rf1 Ra8 Qb6 Rab8 Qa6 Be5 h3 Ra8 Qb6 Nd7 Qb7 Rcb8 Qc6,King's Pawn Game: Leonardis Variation,3
4327,jtwirDl4,61,resign,white,1871,1704,d4 Nf6 Nf3 g6 c4 Bg7 Nc3 d6 e4 O-O h3 Nbd7 Be2 c5 d5 e6 dxe6 fxe6 Qxd6 Re8 Ng5 e5 Ne6 Qe7 Qxe7 Rxe7 Nc7 Rb8 O-O b6 N7d5 Nxd5 Nxd5 Rf7 b4 cxb4 Nxb4 Nf6 f3 Bf8 Nc6 Rbb7 Nxe5 Rfc7 Bb2 Be6 a4 Bd6 Nd3 Bxc4 Bxf6 Bxd3 Bxd3 Rf7 e5 Bc5+ Kh1 Bd4 Rac1 Rb8 Bc4,King's Indian Defense: Normal Variation |  Rare Defenses,9
4328,XU2aSJpr,93,mate,white,1858,1920,d4 Nf6 c4 e6 Nc3 Bb4 Bg5 d5 Qa4+ Nc6 Qb3 O-O Bxf6 Qxf6 e3 dxc4 Bxc4 b6 Nf3 Bb7 Be2 Rad8 O-O Bxc3 Qxc3 Rd5 Rad1 Rh5 a3 Qh6 h3 Qg6 Bd3 f5 Bb5 Ne7 Be2 Rxh3 Qxc7 Bxf3 Bxf3 Rxf3 Qxe7 Rh3 d5 Rh6 dxe6 Qh5 f3 Qh2+ Kf2 Qh4+ Qxh4 Rxh4 e7 Re8 Rd8 Kf7 Rd7 Rxe7 Rfd1 g5 R1d5 f4 Rxe7+ Kxe7 Rxg5 fxe3+ Kxe3 Kf6 Rg8 Rc4 f4 Rc2 b4 Rc3+ Ke4 Rxa3 g4 h6 Rf8+ Kg7 Ra8 Ra4 Kf5 Rxb4 Rxa7+ Kg8 Ra6 Rb5+ Kg6 Rb4 Ra8#,Nimzo-Indian Defense: Leningrad Variation,7
4329,hm1hlEEp,49,resign,white,1846,1834,d4 b6 c4 Bb7 d5 Nf6 Nc3 e6 Bg5 Bb4 dxe6 fxe6 Nf3 Bxf3 exf3 d6 Qd4 O-O Bxf6 Rxf6 Be2 Nc6 Qe4 d5 cxd5 exd5 Qc2 Nd4 Qd3 Nxe2 Qxe2 Qd7 O-O Re8 Qd3 c6 Rad1 Rh6 Ne4 Qc7 Ng3 Bd6 h3 Qc8 Nf5 Rg6 Nxd6 Qxh3 Qxg6,English Defense #2,2
4330,X9qXwv0J,40,resign,black,1836,1832,d4 d5 Bf4 Nc6 e3 a6 c3 Bf5 Nf3 e6 Bg3 Bd6 Ne5 Nge7 Nd2 Bxe5 dxe5 O-O Qf3 Ng6 e4 dxe4 Nxe4 Ngxe5 Bxe5 Nxe5 Qe3 Qd5 f3 Rfd8 Be2 Nd3+ Bxd3 Qxd3 Kf2 Bxe4 fxe4 Qc2+ Kg3 Rd3,Queen's Pawn Game: Mason Attack,3
4332,tyzK86lD,61,resign,white,1826,1965,d4 d5 c4 e6 c5 a5 Nc3 Nf6 Bg5 Bd7 e4 c6 e5 b5 exf6 gxf6 Bf4 h5 Nf3 Qe7 Be2 e5 dxe5 fxe5 Bxe5 Rg8 O-O Bh3 Bg3 Be6 Nh4 Nd7 Bxh5 Nxc5 Re1 O-O-O a4 b4 Ne2 Ne4 Qd3 Kb7 Nd4 Rh8 Nxe6 fxe6 Be2 Nc5 Qd4 Bg7 Qf4 e5 Qg4 Rdg8 Ng6 Bf6 Nxe7 Rxg4 Bxg4 Bxe7 Bxe5,Queen's Gambit Declined,4
4333,uYz3bt4v,28,resign,black,1626,1820,e4 e6 Be2 d5 exd5 exd5 d4 c5 dxc5 Bxc5 Nf3 h6 O-O Be6 Re1 Qf6 Bb5+ Nc6 Be3 Bxe3 Rxe3 Ne7 Nbd2 Qxb2 Rb3 Qf6 Qe2 Qxa1+,French Defense #2,2
4334,w1IP0yqo,53,mate,white,1818,1368,d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 Bg4 h3 Bxf3 Qxf3 e5 dxe5 dxe5 Bg5 Nc6 Rd1 Qe7 Be2 O-O O-O Rfd8 Rxd8+ Rxd8 Nd5 Qd6 Nxf6+ Bxf6 Qxf6 Qxf6 Bxf6 Rd2 Bg4 Rxb2 Rd1 h6 Bd7 Rb6 c5 Ra6 Bc8 Rxa2 Bxb7 Nd4 Bxe5 Ne2+ Kh2 Nc3 Rd8+ Kh7 Rh8#,King's Indian Defense: Normal Variation |  Rare Defenses,9
4335,VxTT5AS7,61,resign,white,1901,1827,e4 e6 Nf3 d5 exd5 exd5 d4 Bg4 Be2 Qe7 O-O h6 h3 Bh5 Bb5+ c6 Re1 Qxe1+ Qxe1+ Be7 Be2 Bg6 Bd3 Bxd3 cxd3 Nd7 Ne5 O-O-O Nc3 Nxe5 dxe5 d4 Ne4 f6 Bf4 f5 Nd6+ Bxd6 exd6 Nf6 Qe6+ Nd7 Qxf5 Rhf8 Qg4 g5 Bg3 Kb8 Qxd4 b6 Qa4 Kb7 Rc1 c5 d4 Rf5 Re1 Rd5 dxc5 Nxc5 Re7+,French Defense: Knight Variation,3
4336,PMp6DMRt,83,resign,white,1791,1803,e4 e6 Nf3 d5 exd5 exd5 d4 Bg4 Qd3 Qe7+ Be2 h6 Nc3 Nf6 Ne5 Bxe2 Nxe2 Nbd7 Qb5 O-O-O Nxd7 Rxd7 Be3 a6 Qa4 Ng4 Bf4 g5 Bg3 Bg7 h3 Nf6 Be5 Rg8 O-O-O Ne4 Bxg7 Rxg7 Rdf1 g4 hxg4 Rxg4 f3 Rxg2 Nf4 Ng3 Nxg2 Nxh1 Rxh1 Qe2 Ne1 Kb8 Qxd7 f5 Qxf5 Qe3+ Kd1 Qxd4+ Kc1 Qe3+ Kb1 Qe2 Qxd5 c6 Qd6+ Ka7 Kc1 Qe3+ Qd2 Qe6 Nd3 Qxa2 Qe3+ b6 Qe7+ Kb8 Rxh6 Qg8 Qd6+ Kc8 Qxc6+ Kd8 Rd6+,French Defense: Knight Variation,3
4337,o6Cd4N2t,71,resign,white,1792,1788,d4 d5 c4 Nf6 Nc3 e6 Bg5 Bb4 Bxf6 Qxf6 Qb3 Nc6 a3 Ba5 e3 O-O cxd5 Bxc3+ bxc3 Na5 Qb5 b6 dxe6 Bxe6 Bd3 c6 Qa4 Rfd8 Nf3 c5 O-O c4 Be4 Rac8 Rfd1 Bf5 Nd2 Re8 Bf3 Bd3 e4 g6 e5 Qf4 g3 Qf5 Qb5 f6 h3 fxe5 Bg4 Qf7 Bxc8 Rf8 f3 Be2 Qxe5 Bxd1 Be6 Bxf3 Bxf7+ Rxf7 Qe8+ Kg7 Qe5+ Kg8 Nxf3 Rxf3 Qd5+ Rf7 Rf1,Queen's Gambit Declined: Modern Variation,7
4338,NoOhvluH,77,resign,white,1780,1808,d4 d5 c4 dxc4 e4 e6 Bxc4 a6 a3 h6 Nc3 b5 Bb3 Bb7 Nf3 Nf6 e5 Nd5 Nxd5 Bxd5 O-O Bxb3 Qxb3 Be7 a4 b4 Bd2 a5 d5 exd5 Bf4 O-O Rfd1 c6 Nd4 Qc8 e6 fxe6 Bxb8 Rxb8 Rac1 c5 Nb5 c4 Qh3 Qc5 Qxe6+ Kh8 Rxd5 Qxf2+ Kh1 Qxb2 Rdd1 Bg5 Rxc4 Rf2 Rc8+ Rxc8 Qxc8+ Kh7 Qg4 Qc2 Rg1 b3 Nd4 Qd2 Nxb3 Qb4 Qg3 Ra2 Rb1 Qxa4 Qd3+ Kh8 Nc5 Qa3 Rb8+,Queen's Gambit Accepted: Saduleto Variation,5
4339,yGcb5udF,97,draw,draw,1456,1789,e4 e6 e5 d5 exd6 Qxd6 Nc3 a6 a3 Nf6 h3 e5 Nf3 e4 Qe2 Bf5 d3 Nbd7 dxe4 Bg6 e5 Qe6 exf6 Qxe2+ Bxe2 Nxf6 Bd3 Bxd3 cxd3 O-O-O O-O Rxd3 Rd1 Rxd1+ Nxd1 Bc5 Be3 Bxe3 Nxe3 Rd8 Rd1 Re8 g3 h6 Kg2 Ne4 Nf5 h5 Nxg7 Rh8 h4 b6 Rd4 Nc5 Ne5 Rh7 Nf5 f6 Nd3 Ne6 Re4 Kd7 Nf4 Nc5 Rd4+ Kc6 Rc4 b5 Nd4+ Kd6 Nf5+ Kc6 Rc2 Kb6 b4 Na4 Nd5+ Kb7 Nxf6 Rf7 Nxh5 Rxf5 Ng7 Rf7 Nh5 c6 Re2 Nc3 Rc2 Nd1 Rd2 Nc3 Rc2 Nb1 Ra2 Nc3 Rc2,French Defense: Steinitz Attack,3
4341,zYwcb45W,69,mate,white,2031,1807,d4 d5 Nf3 Nc6 Bf4 a6 e3 Bg4 c4 e6 Nc3 Bb4 cxd5 exd5 h3 Bxc3+ bxc3 Bh5 Bd3 Nf6 Rb1 Na5 Qa4+ c6 Ne5 Ne4 Bxe4 dxe4 g4 Bg6 Qc2 O-O Nxg6 fxg6 Qxe4 Re8 Qd3 Qd5 O-O Qf3 Bg3 Qd5 c4 Qxc4 Qxc4+ Nxc4 Rxb7 Nd2 Rc1 h5 Rxc6 hxg4 Rxg6 gxh3 Rgxg7+ Kh8 Rh7+ Kg8 Rbg7+ Kf8 Bd6+ Re7 Bxe7+ Ke8 Bc5 Nf3+ Kh1 Ng5 Rh8#,Queen's Pawn Game: Chigorin Variation,4
4342,xDSz0IvJ,77,resign,white,2182,1809,d4 e6 e4 d5 exd5 exd5 g3 Nf6 Bg2 h6 Ne2 Nc6 O-O Bg4 c3 Bd6 h3 Bxe2 Qxe2+ Be7 Qb5 O-O Qxb7 Na5 Qb5 Nc4 Re1 a6 Qa4 Nb6 Qd1 Bd6 Nd2 c5 Nf3 cxd4 Nxd4 Bc5 Be3 Nc4 Bc1 Qd6 b3 Nb6 Be3 Nbd7 Nf5 Qc6 c4 Qc7 cxd5 Bxe3 Nxe3 Rad8 Qd3 Ne5 Qd4 Rfe8 Rad1 Qa5 Nc4 Nxc4 Rxe8+ Rxe8 bxc4 Qxa2 c5 Qc2 d6 Ne4 d7 Rd8 Bxe4 Qe2 c6 Qc2 Bxc2,French Defense: Exchange Variation,5
4343,pnqCxr2D,65,resign,white,2062,1814,d4 e6 Nf3 d5 c4 Nc6 Nc3 Bb4 Bg5 Nge7 e3 Bxc3+ bxc3 h6 Bh4 Qd6 Bg3 Qa3 Qb3 Qa5 h3 O-O Bd3 dxc4 Bxc4 Nf5 Bf4 Bd7 O-O Rab8 Rac1 b5 Bd3 Rfe8 Bxf5 exf5 Rfd1 b4 c4 g5 Bg3 Re4 d5 Ne7 Nd2 f4 Nxe4 fxg3 Nxg3 Nf5 Nxf5 Bxf5 c5 Rb5 d6 Rxc5 Rxc5 Qxc5 d7 Bxd7 Rxd7 Qc1+ Kh2 c5 Qxf7+,Horwitz Defense,2
4344,T0RlNA2f,76,mate,black,1828,1697,d4 d5 Nf3 c6 Nc3 Nf6 Bf4 g6 e3 Bg4 Be2 Bg7 O-O O-O a3 Re8 Be5 Nbd7 Bf4 Nh5 Ne5 Bxe2 Qxe2 Nxf4 exf4 Nf6 f3 Qb6 Qd3 Nh5 g3 Rad8 Na4 Qc7 b4 Qc8 Kg2 Nf6 f5 Qxf5 Qxf5 gxf5 c3 Nh5 Nd3 Bf6 Nac5 b5 Nb7 Rd7 Ndc5 Rc7 Na5 Kh8 Na6 Rcc8 a4 Rg8 axb5 cxb5 Nc5 Nf4+ Kh1 Ne2 Ra3 e5 Re1 Nxg3+ hxg3 Rxg3 dxe5 Bh4 Rf1 Rcg8 Nd7 Rh3#,Queen's Pawn Game: Zukertort Variation,3
4345,T4DVGxZD,29,resign,white,1821,1699,d4 Nf6 c4 d6 Nc3 g6 Nf3 Bg7 e4 O-O Bf4 Bg4 Be2 Bxf3 Bxf3 Nbd7 e5 dxe5 dxe5 Ne8 Qe2 f6 e6 Nc5 O-O c6 Qe3 b6 Bxc6,King's Indian Defense: Normal Variation |  Rare Defenses,9
4346,f7UPTGwk,66,mate,black,1915,1807,f4 d5 Nf3 c5 e3 Bg4 Be2 Bxf3 Bxf3 e6 Kf1 Nf6 c4 Nc6 Qa4 Be7 Kf2 O-O Rf1 Ne4+ Bxe4 dxe4 Kg1 e5 f5 Bg5 Nc3 Qd3 Qb3 Na5 Qb5 b6 Qd7 Qxd7 f6 Bxf6 Rxf6 gxf6 Nxe4 Qf5 d3 Nxc4 b3 Na5 Bd2 Kh8 Rf1 Qg6 Rxf6 Qg4 Rf1 f5 Ng3 Rad8 Bc3 Nc6 b4 Rxd3 Bxe5+ Nxe5 Nxf5 Rxf5 Rxf5 Qxf5 e4 Rd1#,Bird Opening: Dutch Variation,2
4347,XmHXgF4P,91,mate,white,1791,1929,d4 f5 c4 Nf6 Nc3 e6 Nf3 Bb4 Bg5 O-O Qb3 Be7 Bxf6 Bxf6 e4 d6 exf5 exf5 Be2 Be6 O-O Nd7 Rad1 b6 a4 Be7 d5 Bf7 Bd3 Bg6 Nd4 Nc5 Qc2 Bf6 Bxf5 Bxd4 Rxd4 Bxf5 Qd1 Qf6 b4 Nd7 Rf4 Qg6 g3 Bh3 Rxf8+ Rxf8 Re1 Ne5 c5 bxc5 Re3 cxb4 Nb5 Qf7 f4 Ng4 Re4 a6 Na7 Qf5 Rxb4 Qxd5 Qxd5+ Kh8 Qh5 c5 Rb7 c4 Qxh3 Ne3 g4 Nd5 f5 c3 Qd3 Nf4 Qxd6 Re8 Qxf4 c2 Qc1 h5 gxh5 g6 hxg6 Re2 Qh6+ Kg8 Qg7#,Dutch Defense: Queen's Knight Variation,5
4348,cUO9QQU9,73,mate,white,1922,1799,f4 e6 Nf3 c5 e3 d5 d3 Nc6 Be2 Nf6 O-O Bd6 c3 e5 d4 cxd4 fxe5 Nxe5 Nxe5 Bxe5 exd4 Bd6 Bg5 Be6 Bb5+ Kf8 Nd2 a6 Bd3 Be7 Qf3 Rc8 Rae1 h6 Bxf6 Bxf6 a3 h5 Nb3 Bg4 Qf2 Qb6 Bc2 a5 h3 Be6 Bd1 Rc6 Nc5 Rh6 Rxe6 Rxe6 Nd7+ Kg8 Nxb6 Rxb6 Qf4 Rxb2 Qc1 Rb6 Bf3 Rc6 Bxd5 Bxd4+ Kh1 Rxc3 Bxf7+ Kh8 Qf4 Bf6 Qb8+ Kh7 Qg8#,Bird Opening,1
4349,JmiWDBPx,62,mate,black,1810,1817,d4 d5 Nf3 Nc6 Nc3 Nf6 Bf4 a6 e3 Bg4 Be2 Bxf3 Bxf3 e6 Bg5 h6 Bh4 Be7 O-O O-O Bxf6 Bxf6 a3 e5 dxe5 Bxe5 Nxd5 Qd6 Nc3 Bxh2+ Kh1 Be5 Qxd6 Bxd6 Bxc6 bxc6 Ne4 Be5 c3 Rad8 Nc5 Rd2 Rab1 Rb8 f4 Bf6 Nxa6 Rbxb2 Rxb2 Rxb2 Nc5 Bxc3 a4 Ra2 Rb1 Bd2 Rb8+ Kh7 e4 Bxf4 Ra8 Ra1#,Queen's Pawn Game: Chigorin Variation,4
4351,rY9AlCGo,75,resign,white,1784,1871,c4 e5 d4 exd4 Qxd4 Nc6 Qe4+ Be7 Nf3 Nf6 Qd3 O-O a3 d6 e4 Bg4 Be2 Bxf3 Bxf3 Ne5 Qc3 c5 Bf4 Qd7 O-O Qc6 Bxe5 dxe5 Qxe5 Rfe8 Nc3 Bd6 Qg5 g6 Kh1 Kg7 Rfe1 h6 Qd2 Rad8 e5 Bxe5 Qxd8 Rxd8 Bxc6 Bxc3 bxc3 bxc6 Re7 Rd3 Rxa7 Rxc3 Rc7 Rxc4 Rxc6 Ne4 f3 Nf2+ Kg1 Nd3 h3 Ne5 Rc7 Nd3 a4 Rb4 a5 Rb8 a6 Ra8 a7 Nb4 Rxc5 Nd3 Rb5,English Opening: King's English Variation,2
4352,y7Cqxzkx,98,resign,black,1788,2059,d4 d5 Nf3 Nf6 Nc3 Bf5 a3 e6 Bg5 Be7 Bxf6 Bxf6 e4 dxe4 Ne5 Bxe5 dxe5 Qxd1+ Rxd1 Nd7 Bb5 c6 Ba4 Nxe5 O-O Ke7 Rfe1 Rhd8 Rxd8 Rxd8 h3 Nc4 b4 Nxa3 Nxe4 Rd4 Ng3 Bxc2 Bxc2 Nxc2 Re2 Rd1+ Kh2 Nxb4 Rb2 a5 Ne2 f5 f3 g5 Nc3 Rc1 Na4 Rc2 Rb3 b5 Nb6 Nd5 Nxd5+ exd5 Re3+ Kd7 Re5 a4 Rxf5 a3 Rxg5 a2 Rg7+ Kd6 Ra7 b4 Rxh7 a1=Q Rh6+ Kc7 Rh7+ Kc8 Rh4 Qe5+ f4 Qe4 Rg4 Rf2 Rg8+ Kb7 Rg7+ Kb6 Rg4 Rxf4 Rg3 Rf2 Kg1 Qe1+ Kh2 Qe5 Kg1 Qxg3,Queen's Pawn Game: Symmetrical Variation,4
4353,2NtgZvBF,72,resign,black,1461,1785,d4 d5 Nf3 Bf5 Nc3 e6 e4 dxe4 Nd2 Bb4 a3 Bxc3 bxc3 Nc6 Bb5 Qd6 Bxc6+ Qxc6 Qe2 e3 fxe3 Bxc2 O-O O-O-O Nf3 Ba4 Ne5 Qe8 Nxf7 Nf6 Nxh8 Qxh8 Qc4 Qe8 Rb1 a6 Qb4 Bc6 c4 Be4 Rb2 Qc6 d5 exd5 cxd5 Bxd5 Rxf6 Qxc1+ Kf2 gxf6 Qg4+ Kb8 Qb4 Bc6 Qb3 Rd2+ Rxd2 Qxd2+ Kg3 Qxg2+ Kh4 Qxh2+ Kg4 h5+ Kf5 Qe5+ Kg6 Qg5+ Kf7 Bd5+ Qxd5 Qxd5+,Queen's Pawn Game: Zukertort Variation,3
4354,l81vn5EI,62,resign,black,1094,1047,e4 e5 Nf3 Nc6 Bc4 h6 O-O Nf6 Nc3 Bc5 a3 O-O b4 Be7 b5 Nd4 Nxd4 exd4 Ne2 Bc5 Rb1 Nxe4 f3 Ng5 f4 Ne4 d3 Nc3 Nxc3 dxc3+ d4 Be7 Re1 b6 a4 Bh4 g3 Bf6 Kf1 Re8 Rb3 c5 Be3 Bb7 Rxc3 Rc8 Ra3 d6 c3 Qd7 Ke2 Qh3 Rh1 Qg2+ Kd3 Qh3 Qg1 Rcd8 g4 Bxh1 Qxh1 Qxg4,Italian Game: Anti-Fried Liver Defense,6
4355,3VhOTS13,54,resign,black,1104,1280,b3 e5 Bb2 Nc6 d3 d6 Nf3 Nf6 Qd2 h6 g3 Be7 Bg2 a6 O-O b5 Na3 Bb7 c4 bxc4 Nxc4 Rb8 Na5 Nxa5 Qxa5 Qd7 Rfc1 c5 a3 Bd8 Qc3 Rc8 Kf1 Nd5 Qd2 O-O Ng1 Bg5 Bh3 Bxd2 Bxd7 Bxc1 Bxc8 Bxc8 Rxc1 Be6 b4 Rb8 Nf3 cxb4 axb4 Rxb4 Rc8+ Bxc8,Nimzo-Larsen Attack: Modern Variation #3,4
4356,nj9nicKt,66,resign,white,1633,1106,Nf3 b6 e4 Bb7 Nc3 Nf6 d3 Na6 a3 e6 h3 Qe7 b4 c6 Be2 b5 Bb2 g6 e5 Nd5 Nxd5 cxd5 d4 Rc8 Bxb5 Qd8 Rc1 Qb6 Ba4 Bc6 Bxc6 Qxc6 c3 Bh6 Rc2 Rb8 Qe2 O-O O-O Rfc8 Qd3 Qa4 g4 f5 exf6 Kf7 g5 Bf8 Ne5+ Ke8 h4 h6 Qxg6+ Kd8 Rfc1 Rb7 Nf7+ Kc7 c4 dxc4 Rxc4+ Bc5 dxc5 Qb3 Be5+ Kc6,Zukertort Opening: Queenside Fianchetto Variation,2
4357,o682tfoY,37,resign,white,1506,1109,b3 e6 Bb2 Nf6 e4 Nxe4 Bd3 f5 Qh5+ g6 Qf3 Rg8 Qh3 Ng5 Qg3 b6 h4 Ne4 Qf3 Bb7 Rh2 Nc5 Qe2 Qe7 h5 Qf7 hxg6 Qxg6 Qh5 Bxg2 Qxg6+ Rxg6 Rxh7 Rg7 Rh8 Rg8 Rxg8,Nimzo-Larsen Attack,1
4359,MWP0253V,55,resign,white,1709,1117,e4 e6 d4 Nc6 Nf3 f6 Bd3 Bb4+ c3 Be7 Qc2 e5 d5 Na5 b4 Nc6 dxc6 bxc6 Be3 Bd6 Nh4 Nh6 O-O O-O Bxh6 gxh6 Nf5 Be7 Nxh6+ Kg7 Nf5+ Kf7 Qd2 Rh8 Qh6 Bf8 Qh5+ Ke6 Bc2 Ba6 Re1 Rb8 a3 d5 Rd1 Bc4 Qh3 Be2 Rd2 Bc4 Ne3+ Ke7 Nxc4 dxc4 Rxd8,French Defense: Normal Variation,3
4360,5RAQfgCV,48,draw,draw,1302,1116,b4 d5 Bb2 Nf6 e3 Nc6 a3 e5 Bb5 a6 Bxc6+ bxc6 Bxe5 Qe7 Nf3 Rb8 c3 Qe6 d4 Bd6 Bxd6 Qxd6 Qa4 Rb6 O-O O-O Nbd2 Bf5 Nh4 Bd3 Rfe1 Ne4 Qb3 Nxd2 Qd1 Qh6 Nf5 Qg5 Ng3 Ne4 Qxd3 Nxg3 fxg3 Re8 e4 Qg6 e5 Qxd3,Polish Opening,1
4361,6flKrsMp,73,resign,white,1084,1370,d4 d5 c4 c6 e3 e6 Na3 Bb4+ Bd2 Na6 Nf3 Nf6 Bxb4 Nxb4 Qd2 a5 Nc2 Nxc2+ Qxc2 O-O O-O-O Ne4 Nd2 Nxf2 Rg1 Nxd1 Kxd1 c5 g4 cxd4 exd4 Qh4 Nf3 Qf6 Rg3 Bd7 Rh3 Rfc8 Qxh7+ Kf8 g5 Qf4 Qh4 Qf5 Rg3 Qb1+ Ke2 Rxc4 g6 Qxb2+ Nd2 f6 Qh8+ Ke7 Qxa8 Qxd4 Qxa5 Rc5 Qa3 Qe5+ Re3 Qh5+ Nf3 Bb5+ Kf2 Kd6 Rc3 Bxf1 Qxc5+ Kd7 Kxf1 Qxf3+ Rxf3,Slav Defense,4
4362,bukaG0y8,39,mate,white,1732,1085,e4 e6 Nf3 Nf6 Nc3 Nc6 d4 d5 exd5 exd5 Be2 Bb4 Bd2 O-O O-O Na5 a3 Bd6 Nxd5 Nxd5 Bxa5 b6 Bc3 c5 dxc5 Bb8 Bc4 Be6 Bxd5 Bxd5 cxb6 Bxf3 Qxf3 Qd6 g3 axb6 Qg4 Re8 Qxg7#,French Defense: Knight Variation,3
4364,ng796Ixr,48,mate,black,1086,1774,d4 d5 c4 c6 e3 Nf6 Nf3 Bg4 h3 Bh5 g4 Bg6 Bd3 Bxd3 Qxd3 e6 Na3 Be7 Bd2 Ne4 O-O-O Bxa3 bxa3 Nxf2 Qb1 Qc7 Rhe1 Nxd1 Kxd1 O-O Ke2 Nd7 Bc3 dxc4 Ne5 Nxe5 dxe5 Rad8 g5 b6 g6 fxg6 h4 Rf5 Qb2 Qf7 Qb1 Rf2#,Slav Defense: Quiet Variation |  Pin Defense,8
4365,P0qkOgis,79,mate,white,1651,1087,e4 e5 Nc3 Nf6 f4 d5 fxe5 Nfd7 exd5 Nxe5 Qe2 Bd6 Nf3 Qe7 d4 Ng6 Qxe7+ Nxe7 Bb5+ Bd7 O-O a6 Bd3 c6 Re1 Kd8 Bg5 f6 Bd2 Re8 dxc6 Bxc6 Bxh7 g6 d5 Bd7 Ne4 Bc7 Nxf6 Rh8 Bxg6 Nxg6 Bg5 Bd6 Ne4+ Kc7 c4 b6 Rac1 Be8 Nxd6 Kxd6 Re6+ Kd7 c5 Ne7 Ne5+ Kd8 Rxe7 Rh5 Rg7+ Kc8 Rg8 Kb7 c6+ Ka7 Rg7+ Bf7 Rxf7+ Nd7 Rxd7+ Kb8 c7+ Kc8 Rd8+ Kb7 c8=Q+ Ka7 Rc7#,Vienna Game: Vienna Gambit |  Main Line,6
4366,s2mBmi3p,9,resign,white,1319,1096,e3 d5 h3 e5 Qh5 g6 Qxe5+ Ne7 Qxh8,Van't Kruijs Opening,1
4367,jhdtWIo3,51,resign,white,1683,1097,e4 e6 Nf3 Nc6 d4 d5 e5 a6 c3 Nh6 Bd3 Be7 O-O O-O Bxh6 gxh6 Qc2 Kh8 Bxh7 Qe8 Nbd2 f6 exf6 Bxf6 Rae1 Qf7 Bd3 Rg8 c4 e5 dxe5 Qg7 g3 Nxe5 Nxe5 Bh3 Ng6+ Kh7 Nf4+ Kh8 Nxh3 Rge8 cxd5 Rxe1 Rxe1 Qd7 Nf4 Qd6 Ne4 Qf8 Ng6+,Nimzowitsch Defense: Franco-Nimzowitsch Variation,4
4368,SCaRj18P,33,outoftime,white,1080,1047,d4 b6 e3 h6 Qf3 d5 c4 e6 Nc3 Bb7 b3 Nf6 Bd3 Bb4 Bb2 g5 Qd1 Qd7 a3 Bxc3+ Bxc3 b5 cxb5 c6 Nf3 Nh5 O-O cxb5 a4 a6 Ne5 Qd6 Qxh5,English Defense #2,2
4369,xWmJyQNx,94,resign,black,1092,1247,e4 e5 Qh5 Nc6 Bc4 g6 Qe2 Nf6 Nc3 Bc5 a3 a6 Nf3 d6 d3 Be6 h3 Bxc4 dxc4 Qd7 Be3 Bxe3 fxe3 O-O-O O-O-O Nh5 Qf2 f6 b3 Qe6 a4 Nb4 Rhe1 Rhf8 Nd5 Na2+ Kb2 c6 Nb6+ Kc7 a5 Nb4 g4 Ng7 Ka3 c5 Rc1 g5 c3 Nd3 Nxg5 fxg5 Qd2 Nxc1 Rxc1 h6 Nd5+ Kc6 Rd1 Ne8 Qg2 Kd7 Qh2 Nf6 Nxf6+ Qxf6 Qg2 Qe6 Qg3 Kc8 h4 Qd7 hxg5 hxg5 b4 Qc7 b5 Qxa5+ Kb2 axb5 Kb3 Qa4+ Kb2 bxc4 Kc1 Qa3+ Kc2 Qb3+ Kd2 Qb2+ Ke1 Qxc3+ Rd2 Qb3,King's Pawn Game: Wayward Queen Attack,3
4370,yu53Bu4z,47,resign,white,1707,1093,e4 e6 d4 d5 e5 Nc6 Nf3 g6 Be3 Nge7 Bb5 a6 Ba4 b5 Bb3 Nf5 Bg5 Be7 Bxe7 Qxe7 Nbd2 a5 a4 Rb8 axb5 Rxb5 Ba4 Rb6 O-O Bd7 Nb3 Nb4 c3 Bxa4 Rxa4 Nc6 Nxa5 Nxa5 Rxa5 Qd8 Qa4+ c6 Ra8 Rb8 Qxc6+ Qd7 Rxb8+,French Defense: Advance Variation #3,5
